Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total population,Sex ratio (males per 100 females),Median age (years),Unemployment Rate,Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,Asian,Hispanic or Latino (of any race),geoid,typo,INTPTLAT_x,INTPTLONG,label_bin,label_three,label_four,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT_y,INTPTLONG,relation_max_fee,relation_min_fee
55,260,42.6,44618,73411,1359,5.2,3.9,803000,2655,883,1147,2497,1093,1070,2509,83.01,43.7,0.1,0.03,0.02,0.02,0.13,0.02,0.06,0.06,0.08,0.35,0.12,0.03,0.09,0.06,0.94,0.58,0.84,0.06,0.27,0.62,0.05,0.01,0.01,0.02,0.68,0.21,0.57,0.51,0.08,0.08,0.35,0.19,0.24,0.19,0.71,0.02,0.18,36047032700,LI - Ongoing Displacement of Low-Income Households,40.66,-73.96,0,0,0,NY,177080,0,0.068,0,40.6626465,-73.9587961,1290,1250
96,249,55.3,54056,107600,1093,2.1,4.2,380500,2064,680,854,2457,1333,1176,2457,94.38,50,0.18,0.05724859622,0.1,0.03,0.04,0.07,0.03797297297,0.09,0.06,0.37,0.15,0.03,0.04,0.15,0.92,0.5,0.53,0.04,0.07,0.55,0.12,0.02,0.02,0.04194654271,0.46,0.16,0.42,0.44,0.2,0.13,0.16,0.08,0.23,0.21,0.31,0.36,0.17,36047032800,LI - Ongoing Displacement of Low-Income Households,40.58,-74,0,0,0,NY,232840,0,0.09,0,40.5763672,-73.9976847,1427,439
610,1038,50.9,44559,59490,2473,2.8,3.4,617900,3019,842,1265,5997,2624,2450,5997,77.37,33.9,0.11,0.02,0.07,0.01,0.06,0.06,0.07,0.06,0.22,0.31,0.03,0.03,0.06,0.06,0.92,0.53,0.91,0.03,0.37,0.66,0.01,0.05078651685,0.06,0.1,0.54,0.13,0.51,0.4,0.06,0.15,0.33,0.06,0.15,0.34,0.54,0.01,0.13,36047032900,LI - Not Losing Low-Income Households,40.66,-73.95,0,0,0,NY,156418,0,0.06,0,40.6632636,-73.9484196,1457,1132
254,812,51.2,23438,43444,1829,3.6,4.1,333300,2532,835.5364007,538,4606,1664,1418,4606,91.44,36.3,0.24,0.01,0.05,0.05,0.09,0.07,0.02,0.05,0.11,0.37,0.08,0.07,0.04,0.2,0.93,0.35,0.92,0.01,0.31,0.7,0.05,0.05078651685,0.04,0.02,0.63,0.14,0.49,0.46,0.1,0.22,0.17,0.04,0.19,0.29,0.52,0.05,0.27,36047033000,LI - At Risk of Gentrification,40.58,-74,1,1,1,NY,372139,119065,0.144,0.046,40.5801785,-73.9994354,1427,439
272,494,33.2,37405,52609,1603,4.944467354,3.6,927700,3438,1458,1221,4058,1830,1701,4058,107.25,29.6,0.13,0.05724859622,0.03900655572,0.02,0.15,0.02,0.04,0.11,0.05,0.44,0.02,0.11,0.04,0.11,0.88,0.52,0.85,0.05,0.36,0.56,0.11,0.01,0.07,0.02,0.7,0.13,0.45,0.38,0.08,0.08,0.27,0.08,0.19,0.6,0.37,0.1562713675,0.04,36047033100,LI - Not Losing Low-Income Households,40.66,-73.94,0,0,0,NY,142464,0,0.055,0,40.6641582,-73.9420074,1372,944
700,950,29.5,42972,51088,1412,1.8,4.2,752200,3107,925,1274,4736,1426,1257,4736,105.2,26,0.07,0.02,0.01,0.08,0.12,0.08,0.03,0.07,0.08,0.42,0.05,0.04,0.04268056968,0.15,0.94,0.58,0.67,0.01,0.28,0.5,0.05,0.01,0.19,0.02,0.64,0.1,0.48,0.37,0.03,0.07,0.33,0.09,0.13,0.67,0.29,0.1562713675,0.05,36047033300,LI - Not Losing Low-Income Households,40.67,-73.94,0,0,0,NY,186339,0,0.072,0,40.6658373,-73.9425263,1372,944
301,626,37.2,52833,70948,873,0.4,5.9,810300,2863,1218,1313,2705,1113,921,3033,106.89,24.6,0.13,0.03,0.07,0.04,0.13,0.06,0.02,0.1,0.08,0.39,0.04,0.02,0.03,0.05,0.94,0.6,0.53,0.04,0.17,0.44,0.12,0.03,0.05,0.05,0.6,0.13,0.55,0.4,0.04,0.05,0.45,0.16,0.17,0.67,0.27,0.01,0.11,36047033500,LI - Ongoing Displacement of Low-Income Households,40.67,-73.94,0,0,0,NY,180682,0,0.07,0,40.6675941,-73.9423885,1300,684
214,500,49.6,71806,91680,1932,5.1,4.7,515300,2514,1079,1427,3883,1654,1582,3940,108.91,42.7,0.09,0.05,0.02,0.02,0.07,0.03,0.03,0.06,0.17,0.31,0.09,0.09,0.05,0.09,0.87,0.54,0.49,0.03,0.26,0.25,0.27,0.06,0.03,0.02,0.6,0.15,0.37,0.16,0.04,0.08,0.5,0.05,0.2,0.81,0.08,0.03,0.13,36047033600,MHI - Stable Exclusion,40.58,-74.01,0,0,0,NY,688235,1085724,0.266,0.419,40.5759997,-74.0084907,1080,439
511,659,41.2,54719,79725,1513,4.7,4.4,698100,2136,835.5364007,1300,4050,1610,1352,4098,79.42,31.3,0.03,0.03,0.03900655572,0.02,0.1,0.06,0.05,0.07,0.15,0.34,0.03,0.1,0.05,0.03,0.85,0.55,0.76,0.03,0.24,0.48,0.06,0.05078651685,0.11,0.03,0.57,0.11,0.41,0.46,0.08,0.06,0.35,0.09,0.15,0.41,0.49,0.03,0.11,36047033700,LI - Ongoing Gentrification,40.67,-73.94,1,2,2,NY,197587,0,0.076,0,40.6694016,-73.9421813,1313,684
526,387,40.9,36570,49446,2098,7,4,701800,3013,755,1021,4783,1885,1820,4788,96.39,34.8,0.09,0.04,0.02,0.02746184285,0.09,0.05,0.03,0.07,0.12,0.32,0.13,0.1,0.03,0.19,0.87,0.59,0.84,0.07,0.33,0.71,0.04,0.02,0.04,0.04,0.63,0.17,0.5,0.59,0.08,0.09,0.25,0.14,0.2,0.19,0.7,0.04,0.08,36047033900,LI - Ongoing Gentrification,40.67,-73.94,1,2,2,NY,180739,0,0.07,0,40.6712119,-73.9420151,1313,684
55,116,49.5,20833,31130,672,1.5,3.8,582861.201,2637.827457,835.5364007,466,1415,911,776,2174,74.76,59,0.15,0.07,0.13,0.02,0.07,0.1,0.03797297297,0.08793535938,0.17,0.2,0.08,0.07,0.11,0.31,0.92,0.23,1,0.01,0.15,0.79,0.05,0.01,0.02,0.01,0.623960199,0.42,0.45,0.38,0.18,0.13,0.22,0.06,0.45,0.43,0.42,0.07,0.17,36047034000,LI - Ongoing Displacement of Low-Income Households,40.57,-74,0,0,0,NY,129694,0,0.05,0,40.5723223,-73.9964764,1427,439
89,342,40.7,50370,68389,1163,5.6,3.8,585500,2625,835.5364007,1302,2499,970,868,2767,103.46,38.2,0.06,0.07,0.02,0.02746184285,0.17,0.03,0.07,0.09,0.11,0.27,0.06,0.08,0.04,0.07,0.82,0.61,0.91,0.06,0.23,0.54,0.09,0.05078651685,0.01,0.03,0.93,0.18,0.46,0.58,0.07,0.12,0.3,0.16,0.22,0.13,0.79,0.1562713675,0.1,36047034100,LI - Ongoing Gentrification,40.67,-73.94,1,2,2,NY,139771,0,0.054,0,40.6735662,-73.9445868,1300,684
408,818,51.1,17802,33387,2957,3.2,3.4,582861.201,2637.827457,835.5364007,439,5838,2224,1830,5838,64.5,45.3,0.26,0.03,0.03,0.01,0.08,0.12,0.03797297297,0.1,0.04,0.44,0.06,0.04,0.03,0.28,0.92,0.28,0.98,0.07,0.23,0.87,0.01,0.05078651685,0.03,0.04,0.57,0.29,0.4,0.43,0.1,0.09,0.23,0.08,0.32,0.37,0.39,0.04,0.26,36047034200,LI - At Risk of Gentrification,40.57,-74,1,1,1,NY,229959,0,0.089,0,40.5741077,-73.9968627,1427,466
409,765,38.8,24834,48111,2233,2.4,4.1,815300,1967,1050,684,4720,1547,1235,4809,65.54,36.1,0.13,0.03,0.04,0.04,0.11,0.07,0.05,0.04,0.06,0.3,0.09,0.09,0.09,0.24,0.92,0.4,0.93,0.04,0.25,0.79,0.04,0.05078651685,0.05,0.01,0.39,0.11,0.57,0.48,0.15,0.16,0.22,0.11,0.15,0.08,0.71,0.05,0.23,36047034300,LI - At Risk of Gentrification,40.67,-73.94,1,1,1,NY,162149,0,0.063,0,40.673503,-73.9388377,1302,999
247,394,40.7,27127,41929,1259,9.7,4.1,595700,2602,514,1236,3182,1405,1350,3188,72.79,32.7,0.08,0.05,0.02,0.02746184285,0.07,0.12,0.02,0.02,0.15,0.32,0.12,0.09,0.03,0.22,0.73,0.4,0.76,0.06,0.39,0.6,0.08,0.05078651685,0.05,0.04194654271,0.62,0.07,0.53,0.58,0.05,0.08,0.21,0.08,0.11,0.05,0.81,0.01,0.09,36047034500,LI - Not Losing Low-Income Households,40.67,-73.93,0,0,0,NY,163599,0,0.063,0,40.6732279,-73.9336927,1244,583
219,341,43.8,36641,43052,1697,3.7,3.8,613300,3750,459,964,3376,1286,1180,3376,94.25,35.5,0.1,0.07,0.03900655572,0.05,0.07,0.1,0.05,0.05,0.09,0.35,0.07,0.03,0.07,0.23,0.82,0.48,0.89,0.07,0.27,0.71,0.06,0.05078651685,0.08,0.01,0.74,0.08,0.66,0.61,0.06,0.1,0.22,0.08,0.1,0.02,0.87,0.01,0.15,36047034700,LI - Ongoing Gentrification,40.67,-73.93,1,2,2,NY,139778,0,0.054,0,40.6726583,-73.9279722,1236,583
381,277,40.6,56975,66415,799,8.3,4,567000,2719,703,1532,2478,1327,1256,2483,110.25,32.8,0.08,0.18,0.03,0.04,0.14,0.12,0.03797297297,0.06,0.07,0.17,0.08,0.09,0.02,0.09,0.82,0.41,0.8,0.03,0.24,0.49,0.13,0.01,0.14,0.08,0.63,0.04,0.51,0.36,0.24,0.09,0.22,0.06,0.06,0.51,0.01,0.19,0.42,36047034800,MHI - Ongoing Exclusion,40.58,-73.98,0,0,0,NY,595372,87369,0.23,0.034,40.5811962,-73.9833532,1043,505
530,946,43.4,30463,44695,2224,1.7,3.8,328100,2637.827457,1208,1226,5932,2609,2496,5932,82.86,30.8,0.11,0.08,0.02,0.02,0.09,0.08,0.05,0.04,0.09,0.3,0.1,0.11,0.02,0.11,0.83,0.46,0.95,0.06,0.35,0.75,0.03,0.05078651685,0.11,0.05,0.69,0.07,0.57,0.51,0.07,0.18,0.15,0.1,0.09,0.09,0.81,0.01,0.11,36047034900,LI - Ongoing Gentrification,40.67,-73.93,1,2,2,NY,163213,0,0.063,0,40.6682771,-73.9297782,1257,964
53,139,40.9,34526,42534,1514,4.944467354,3.7,582861.201,1425,832,1043,2721,2059,1998,2721,71.78,56.6,0.15,0.04,0.04,0.02,0.08,0.06,0.05,0.08,0.09,0.51,0.01,0.02,0.02,0.22,0.89,0.5,0.77,0.02,0.07,0.54,0.03,0.04,0.03,0.02,0.06,0.36,0.37,0.1,0.05,0.04,0.45,0.05,0.42,0.97,0.2795633877,0.01,0.01,36047035000,LI - Not Losing Low-Income Households,40.58,-73.98,0,0,0,NY,196320,0,0.076,0,40.5775689,-73.9789089,1532,286
214,756,44.3,32407,45177,1840,4.2,4.1,691500,3000,835.5364007,1065,4270,2417,2241,4280,56.55,38.5,0.13,0.02,0.01,0.01,0.11,0.07,0.02,0.04,0.09,0.46,0.08,0.05,0.02,0.18,0.89,0.43,0.87,0.02,0.21,0.72,0.02,0.05078651685,0.07,0.04,0.7,0.12,0.45,0.43,0.11,0.09,0.16,0.03,0.14,0.11,0.67,0.01,0.22,36047035100,LI - Ongoing Gentrification,40.67,-73.93,1,2,2,NY,163006,0,0.063,0,40.6684292,-73.9325473,1257,964
5,21,38.2,11444,20562,506,9.3,2.9,582861.201,2637.827457,835.5364007,286,558,535,422,1012,78.48,74.4,0.08903938521,0.06,0.03900655572,0.02746184285,0.05,0.08,0.03797297297,0.05,0.05,0.38,0.05,0.03,0.25,0.43,1,0.15,1,0.04,0.19,0.85,0.01,0.05078651685,0.06558448188,0.04194654271,0.623960199,0.7,0.52,0.27,0.28,0.13,0.2,0.07,0.73,0.63,0.23,0.1562713675,0.18,36047035200,LI - Ongoing Gentrification,40.57,-73.98,1,2,2,NY,990155,1400857,0.382,0.541,40.5701691,-73.9788364,1532,716
290,449,44.7,39572,50757,2103,5.2,3.8,642000,2850,692,1157,4877,2579,2285,4903,63.43,35.4,0.06,0.04,0.04,0.01,0.05,0.06,0.04,0.07,0.12,0.4,0.1,0.06,0.04,0.17,0.88,0.52,0.91,0.03,0.38,0.73,0.06,0.02,0.02,0.01,0.71,0.11,0.56,0.59,0.07,0.14,0.28,0.1,0.13,0.22,0.7,0.02,0.08,36047035300,LI - Not Losing Low-Income Households,40.67,-73.94,0,0,0,NY,163102,0,0.063,0,40.6685796,-73.9353139,1313,684
222,298,43.6,50333,74734,2825,4.944467354,3.7,290500,1713,712,786,5341,3500,3267,5341,77.21,58.8,0.07,0.02,0.02,0.02746184285,0.11,0.07,0.01,0.16,0.12,0.41,0.02,0.04,0.03,0.07,0.97,0.71,0.4,0.03,0.14,0.41,0.08,0.05078651685,0.06558448188,0.04194654271,0.25,0.35,0.23,0.15,0.02,0.03,0.54,0.02,0.43,0.99,0.01,0.1562713675,0.05,36047035400,LI - Ongoing Displacement of Low-Income Households,40.58,-73.97,0,0,0,NY,377671,0,0.146,0,40.5801336,-73.9726119,1291,898
459,899,43.8,47239,51433,2175,2.8,3.5,560800,2230,835.5364007,1257,5660,2373,2229,5660,77.82,32.3,0.07,0.04,0.01,0.03,0.09,0.08,0.02,0.02,0.07,0.44,0.09,0.05,0.07,0.1,0.82,0.53,0.92,0.03,0.3,0.69,0.04,0.05078651685,0.1,0.09,0.63,0.1,0.47,0.54,0.07,0.09,0.23,0.12,0.12,0.14,0.8,0.1562713675,0.1,36047035500,LI - Not Losing Low-Income Households,40.66,-73.93,0,0,0,NY,138408,0,0.053,0,40.664405,-73.9334722,1244,1065
7,77,40.8,44395,53720,1500,4.944467354,3.5,582861.201,1179,661,898,2683,1646,1637,2683,101.88,58.6,0.12,0.03,0.04,0.05,0.06,0.06,0.01,0.11,0.09,0.46,0.07,0.03,0.01,0.2,0.91,0.58,0.67,0.05,0.19,0.4,0.08,0.03,0.02,0.04194654271,0.19,0.35,0.42,0.15,0.04,0.01,0.51,0.06,0.43,0.96,0.04,0.1562713675,0.01,36047035601,LI - Ongoing Displacement of Low-Income Households,40.58,-73.97,0,0,0,NY,67923,0,0.026,0,40.5808797,-73.9697024,1532,786
342,262,43.6,35800,53767,2869,3.8,3.2,300600,1126,270,1183,5004,3263,3182,5009,73.68,55.4,0.06,0.03,0.02,0.02746184285,0.06,0.13,0.03,0.16,0.16,0.22,0.09,0.06,0.04,0.14,0.96,0.59,0.62,0.06,0.13,0.47,0.04,0.01,0.08,0.01,0.21,0.36,0.28,0.12,0.02,0.03,0.51,0.02,0.41,0.97,0.01,0.02,0.03,36047035602,LI - Ongoing Gentrification,40.58,-73.97,1,2,2,NY,170784,0,0.066,0,40.5778298,-73.9702044,1149,786
278,488,42.8,23092,36499,995,2.3,3.7,580900,2637.827457,835.5364007,1082,2494,922,851,2494,58.55,28.7,0.13,0.03,0.02,0.01,0.06,0.15,0.01,0.04,0.11,0.38,0.08,0.06,0.06,0.32,0.88,0.44,0.98,0.03,0.31,0.81,0.1370536153,0.05078651685,0.08,0.03,0.7,0.07,0.6,0.6,0.09,0.15,0.1,0.05,0.09,0.02,0.83,0.1562713675,0.2,36047035700,LI - Not Losing Low-Income Households,40.67,-73.93,0,0,0,NY,180064,0,0.07,0,40.6680437,-73.9268441,1257,964
418,792,44.3,30838,39395,2364,2.1,3.8,363000,2637.827457,351,1138,4877,1798,1681,5234,70.43,35.3,0.16,0.09,0.03900655572,0.02,0.04,0.08,0.02,0.01,0.17,0.46,0.107284545,0.05,0.07,0.23,0.88,0.42,0.95,0.04078389831,0.32,0.77,0.05,0.03,0.05,0.02,0.63,0.12,0.63,0.61,0.11,0.16,0.11,0.12,0.13,0.01,0.94,0.01,0.11,36047035900,LI - Not Losing Low-Income Households,40.67,-73.92,0,0,0,NY,183572,0,0.071,0,40.6704331,-73.9238643,1136,527
87,202,43.3,19696,47788,1740,1.8,3,428600,2781,902,975,2923,2402,2394,2923,78.56,60.8,0.12,0.06,0.03,0.04,0.11,0.11,0.01,0.12,0.05,0.28,0.08,0.08,0.04,0.26,0.95,0.37,0.76,0.02,0.14,0.69,0.04,0.05078651685,0.05,0.05,0.36,0.44,0.16,0.1,0.08,0.04,0.43,0.1021207729,0.49,0.97,0.01,0.1562713675,0.01,36047036001,LI - Not Losing Low-Income Households,40.58,-73.97,0,0,0,NY,95356,0,0.037,0,40.5757847,-73.9655708,1183,786
245,296,47.2,17143,33284,2167,4.944467354,2.9,165600,1399,549,1065,4056,3173,3159,4062,69.96,57.9,0.16,0.05724859622,0.09,0.02746184285,0.07,0.05,0.03797297297,0.01,0.08,0.61,0.07,0.04,0.04268056968,0.38,0.83,0.36,0.92,0.03,0.15,0.69,0.02,0.05078651685,0.1,0.04,0.46,0.37,0.18,0.11,0.07,0.02,0.37,0.03,0.45,0.89,0.01,0.01,0.08,36047036002,LI - Ongoing Displacement of Low-Income Households,40.58,-73.96,0,0,0,NY,86032,0,0.033,0,40.5763621,-73.9612376,1292,991
224,283,47.9,27220,52949,1140,4.4,3.6,569400,1741,835.5364007,1009,2409,934,852,2621,93.57,41.5,0.1,0.02,0.01,0.03,0.14,0.11,0.03797297297,0.06,0.07,0.41,0.07,0.06,0.02,0.21,0.9,0.36,0.94,0.01,0.4,0.78,0.05,0.05078651685,0.01,0.04,0.78,0.16,0.47,0.45,0.13,0.13,0.1,0.1,0.22,0.04,0.78,0.02,0.22,36047036100,LI - At Risk of Gentrification,40.67,-73.92,1,1,1,NY,141044,0,0.054,0,40.6695662,-73.9199592,1138,527
344,497,43,29608,51349,1461,9.2,3,489700,2243,621,1149,3351,2347,2200,3371,104.55,35.1,0.08,0.06,0.06,0.01,0.14,0.08,0.03797297297,0.11,0.08,0.25,0.09,0.1,0.02,0.18,0.84,0.39,0.72,0.09,0.35,0.56,0.08,0.05078651685,0.06,0.17,0.69,0.08,0.35,0.26,0.12,0.14,0.33,0.01,0.12,0.57,0.01,0.25,0.32,36047036200,LI - Ongoing Displacement of Low-Income Households,40.58,-73.96,0,0,0,NY,171110,0,0.066,0,40.578117,-73.9640009,1292,991
348,709,51.6,28556,41400,1818,7.5,3.8,573400,1978,966,1088,3915,1641,1504,3917,71.8,34.8,0.06,0.05,0.03900655572,0.02746184285,0.14,0.11,0.03,0.05,0.03,0.39,0.09,0.05,0.07,0.14,0.83,0.48,0.83,0.04078389831,0.32,0.66,0.05,0.01,0.06,0.02,0.78,0.14,0.45,0.55,0.11,0.15,0.2,0.09,0.17,0.06,0.82,0.1562713675,0.21,36047036300,LI - Ongoing Gentrification,40.67,-73.92,1,2,2,NY,259732,0,0.1,0,40.6721757,-73.9169923,1285,527
157,264,40.7,35313,62176,939,2.3,3.3,524700,2714,765,1291,2223,1599,1561,2237,112.44,38.8,0.13,0.07,0.03,0.02746184285,0.07,0.15,0.03,0.06,0.13,0.29,0.08,0.09,0.01,0.17,0.88,0.55,0.69,0.08,0.31,0.56,0.08,0.05078651685,0.11,0.05,0.53,0.15,0.38,0.28,0.09,0.06,0.41,0.01,0.19,0.56,0.02,0.34,0.08,36047036400,LI - Ongoing Displacement of Low-Income Households,40.58,-73.96,0,0,0,NY,143250,0,0.055,0,40.5801614,-73.9638638,1292,991
234,351,44.6,40845,48403,1335,5.6,3.7,469400,2535,835.5364007,938,2758,1065,981,2758,97.56,38.3,0.08,0.05724859622,0.02,0.03,0.07,0.09,0.03797297297,0.03,0.19,0.34,0.07,0.03,0.13,0.1,0.9,0.52,0.9,0.01,0.25,0.63,0.04,0.03,0.07,0.07,0.89,0.14,0.5,0.47,0.13,0.12,0.25,0.11,0.15,0.01,0.93,0.1562713675,0.1,36047036501,LI - At Risk of Gentrification,40.68,-73.91,1,1,1,NY,126351,0,0.049,0,40.6750312,-73.9115137,1366,446
74,228,39.3,33750,51630,521,10.3,4.3,631100,3250,783,1022,1061,336,291,1280,126.55,36.1,0.19,0.05,0.08,0.06,0.15,0.09,0.03797297297,0.06,0.05,0.26,0.07,0.08,0.04,0.08,0.96,0.41,0.69,0.06,0.44,0.5,0.09,0.01,0.09,0.01,0.77,0.07,0.66,0.61,0.1,0.17,0.1,0.07,0.1,0.09,0.7,0.01,0.28,36047036502,LI - Ongoing Gentrification,40.67,-73.91,1,2,2,NY,122049,0,0.047,0,40.674726,-73.907543,1366,446
409,674,41.8,39808,59965,1506,1.6,3.5,400000,2962,600,1256,4699,3555,3492,4995,102.88,38,0.05,0.12,0.04,0.02,0.11,0.11,0.01,0.04,0.1,0.26,0.08,0.1,0.02,0.09,0.87,0.48,0.74,0.01,0.29,0.56,0.12,0.01,0.24,0.1,0.52,0.15,0.32,0.28,0.15,0.04,0.3,0.02,0.2,0.55,0.03,0.26,0.23,36047036600,LI - Not Losing Low-Income Households,40.58,-73.96,0,0,0,NY,234154,0,0.09,0,40.5828706,-73.9637677,1292,991
71,224,47.7,41969,52499,561,2.3,4,395000,2317,330,1206,1296,477,393,1296,98.77,34.6,0.04,0.08,0.01,0.03,0.16,0.06899059871,0.03,0.06,0.13,0.29,0.05,0.07,0.09,0.11,0.85,0.51,0.73,0.09,0.35,0.66,0.03,0.05078651685,0.04,0.02,0.73,0.1,0.62,0.48,0.17,0.11,0.24,0.07,0.13,0.1,0.53,0.08,0.31,36047036700,LI - Ongoing Displacement of Low-Income Households,40.68,-73.9,0,0,0,NY,182968,0,0.071,0,40.6775646,-73.904613,1377,422
532,1142,45.2,40612,46232,2201,8.1,4.2,505700,2377,810,1138,5430,1578,1396,5504,100.44,29.3,0.08,0.04,0.07,0.01,0.13,0.07,0.05,0.04,0.11,0.27,0.1,0.06,0.06,0.2,0.86,0.43,0.86,0.05,0.32,0.68,0.05,0.01,0.04,0.06,0.86,0.06,0.61,0.51,0.13,0.18,0.16,0.09,0.08,0.1,0.68,0.01,0.29,36047036900,LI - Not Losing Low-Income Households,40.68,-73.91,0,0,0,NY,226736,0,0.088,0,40.67965,-73.9092283,1421,938
242,729,44.5,61188,92146,1700,4.944467354,4.1,556200,2436,821,1263,4303,2379,2310,4303,92.79,41,0.06,0.03,0.06,0.01,0.11,0.12,0.02,0.12,0.04,0.35,0.07,0.04,0.03,0.07,0.91,0.71,0.31,0.05,0.13,0.31,0.1,0.01,0.08,0.03,0.56,0.15,0.33,0.22,0.07,0.07,0.41,0.02,0.19,0.65,0.2795633877,0.3,0.07,36047037000,MHI - Stable Exclusion,40.59,-73.96,0,0,0,NY,336242,0,0.13,0,40.5878492,-73.963165,1336,1256
411,800,42.8,50504,61243,1750,1.6,4.3,493400,2307,835.5364007,1308,4605,1441,1347,4608,88.93,31.3,0.09,0.05,0.01,0.01,0.05,0.16,0.02,0.07,0.1,0.36,0.07,0.03,0.06,0.12,0.87,0.53,0.67,0.04,0.32,0.58,0.09,0.03,0.05,0.02,0.88,0.08,0.63,0.52,0.07,0.11,0.2,0.11,0.11,0.03,0.85,0.03,0.15,36047037100,LI - Ongoing Gentrification,40.68,-73.91,1,2,2,NY,189347,0,0.073,0,40.6802873,-73.9138395,1421,938
365,574,42.6,29648,46571,1728,7.7,4.2,573300,1758,791,1193,4050,909,696,4101,78.15,28.4,0.09,0.05,0.02,0.01,0.06,0.1,0.08,0.05,0.14,0.31,0.06,0.06,0.08,0.2,0.91,0.53,0.84,0.09,0.36,0.73,0.04,0.03,0.03,0.02,0.75,0.11,0.63,0.52,0.1,0.16,0.21,0.13,0.13,0.15,0.68,0.02,0.27,36047037300,LI - Ongoing Gentrification,40.68,-73.92,1,2,2,NY,170809,0,0.066,0,40.6839488,-73.9152154,1406,1180
343,467,45.3,46083,71870,1947,4.944467354,3.5,499300,1967,820,1260,4264,2196,2141,4264,89.09,39.6,0.08,0.07,0.02,0.04,0.08,0.1,0.04,0.17,0.15,0.24,0.04,0.03,0.04,0.15,0.91,0.58,0.69,0.05,0.29,0.43,0.12,0.03,0.03,0.04,0.6,0.2,0.39,0.31,0.07,0.03,0.44,0.05,0.25,0.85,0.01,0.07,0.03,36047037401,LI - Not Losing Low-Income Households,40.59,-73.97,0,0,0,NY,225521,0,0.087,0,40.5879978,-73.967755,1291,786
319,742,49.2,31779,59961,2160,4.944467354,3.4,493800,3565,928,1128,4977,3093,2822,4977,89.82,42.3,0.11,0.11,0.06,0.05,0.07,0.17,0.03797297297,0.05,0.07,0.33,0.03,0.05,0.04,0.19,0.89,0.46,0.86,0.05,0.34,0.55,0.08,0.04,0.1,0.05,0.62,0.23,0.3,0.25,0.06,0.05,0.47,0.01,0.26,0.66,0.05,0.17,0.13,36047037402,LI - Not Losing Low-Income Households,40.59,-73.97,0,0,0,NY,301498,0,0.116,0,40.586788,-73.9720026,1285,786
150,447,48.6,44231,55308,1339,10.8,4.3,589300,2165,835.5364007,1406,3135,1262,1170,3170,88.24,31.1,0.11,0.1,0.05,0.03,0.09,0.07,0.07,0.04,0.09,0.18,0.2,0.02,0.06,0.05,0.86,0.5,0.87,0.05,0.39,0.58,0.05,0.02,0.09,0.02,0.64,0.08,0.59,0.63,0.17,0.13,0.19,0.15,0.1,0.24,0.51,0.15,0.19,36047037500,LI - Ongoing Gentrification,40.69,-73.92,1,2,2,NY,158802,0,0.061,0,40.68762,-73.9215167,1332,852
408,363,41.8,40611,64463,1789,9.8,4.7,695300,3131,756,1332,3995,516,493,4013,83.49,35.2,0.09,0.04,0.08,0.02746184285,0.09,0.04,0.03,0.07,0.12,0.29,0.11,0.05,0.07,0.14,0.93,0.52,0.65,0.03,0.39,0.67,0.06,0.05078651685,0.01,0.04194654271,0.72,0.13,0.59,0.49,0.06,0.11,0.27,0.22,0.16,0.11,0.74,0.01,0.19,36047037700,LI - Ongoing Gentrification,40.68,-73.92,1,2,2,NY,190208,0,0.073,0,40.6840883,-73.9201876,1406,1180
