,Label (Grouping)_x,Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_numb,Label (Grouping)_y,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),tract,LOGRECNO,GEOID,geoid,typo,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             ,label 
302,"Census Tract 409, Bronx County, New York!!Estimate",86,393,49.9,"46,447","67,696","1,465",0,2.2,3.8,-,"2,667",-,"1,043","3,138","1,370","1,302",(X),"3,138",95.02796768,45.6,"Census Tract 409, Bronx County, New York","Census Tract 409, Bronx County, New York!!Percent",16.60%,0.00%,3.50%,1.50%,0.00%,6.00%,9.10%,0.60%,5.80%,7.40%,48.20%,5.10%,6.20%,6.50%,12.00%,93.50%,66.90%,0.00%,0.00%,77.30%,1.70%,16.00%,47.00%,2.40%,3.50%,1.10%,2.50%,8.20%,17.80%,40.50%,32.10%,5.40%,8.30%,28.20%,7.60%,21.10%,17.50%,69.80%,0.00%,3.30%,14.50%,409,3782,14000US36005040900,36005040900,LI - At Risk of Gentrification,NY,822774,346374,0.318,0.134,40.8749421,-73.8951771,1
303,"Census Tract 411, Bronx County, New York!!Estimate",292,497,39.1,"40,238","46,638","1,248",5.3,3.2,3.5,"173,500","1,625",-,"1,334","3,158","1,147","1,044",(X),"3,158",84.78642481,30.9,"Census Tract 411, Bronx County, New York","Census Tract 411, Bronx County, New York!!Percent",15.80%,0.80%,5.60%,1.60%,0.00%,8.70%,4.90%,0.60%,3.50%,8.70%,29.90%,26.10%,7.10%,2.50%,21.80%,80.60%,34.40%,0.00%,0.80%,89.50%,4.70%,45.20%,62.30%,6.60%,0.80%,10.30%,5.90%,48.40%,11.20%,47.10%,53.40%,13.20%,10.00%,26.20%,4.40%,13.20%,21.10%,29.40%,0.00%,4.50%,63.60%,411,3783,14000US36005041100,36005041100,LI - At Risk of Gentrification,NY,121611,0,0.047,0,40.8755828,-73.8871372,1
304,"Census Tract 413, Bronx County, New York!!Estimate",729,"1,115",40.7,"41,750","57,626","3,036",0,4.3,3.3,"212,500","2,551",-,"1,208","7,313","3,392","3,006",(X),"7,429",91.27188465,33,"Census Tract 413, Bronx County, New York","Census Tract 413, Bronx County, New York!!Percent",8.10%,0.40%,4.60%,4.20%,2.30%,15.50%,5.60%,1.70%,6.90%,10.40%,28.80%,12.80%,5.50%,1.30%,11.90%,85.90%,42.90%,0.00%,0.90%,94.90%,5.50%,33.80%,65.00%,2.40%,0.00%,6.50%,4.50%,89.70%,5.30%,43.70%,35.50%,11.80%,11.00%,18.30%,4.80%,11.40%,20.20%,11.30%,0.40%,6.10%,72.30%,413,3784,14000US36005041300,36005041300,LI - At Risk of Gentrification,NY,173358,0,0.067,0,40.8740946,-73.8851972,1
305,"Census Tract 414, Bronx County, New York!!Estimate",300,591,44.4,"53,809","69,251","1,791",0,2,4.4,"437,200","3,033",864,"1,292","4,719","2,395","2,231",(X),"4,776",95.65751741,43.9,"Census Tract 414, Bronx County, New York","Census Tract 414, Bronx County, New York!!Percent",15.70%,0.00%,7.70%,2.80%,2.70%,9.50%,9.30%,1.80%,11.60%,5.30%,36.50%,7.60%,3.30%,1.90%,6.20%,87.90%,57.60%,0.00%,0.00%,54.80%,6.30%,24.10%,42.50%,17.70%,4.60%,2.30%,3.30%,64.60%,15.30%,32.40%,45.60%,9.00%,8.00%,27.30%,8.70%,20.80%,12.40%,63.00%,0.00%,6.20%,21.30%,414,3785,14000US36005041400,36005041400,LI - Ongoing Displacement of Low-Income Households,NY,522982,0,0.202,0,40.9035524,-73.854095,0
306,"Census Tract 415, Bronx County, New York!!Estimate",720,787,42.1,"49,741","51,880","2,374",13.8,0.7,3.5,-,-,-,"1,290","6,031","2,796","2,424",(X),"6,031",94.73684211,30.9,"Census Tract 415, Bronx County, New York","Census Tract 415, Bronx County, New York!!Percent",11.70%,0.00%,8.60%,3.50%,1.60%,14.10%,11.60%,1.50%,4.80%,11.20%,20.50%,10.20%,7.80%,4.50%,9.70%,86.20%,44.60%,0.50%,0.00%,95.10%,5.50%,44.90%,62.40%,4.30%,0.00%,7.20%,6.60%,100.00%,5.20%,59.10%,46.70%,10.70%,14.10%,19.80%,2.80%,6.90%,17.00%,20.60%,0.00%,2.00%,68.70%,415,3786,14000US36005041500,36005041500,LI - Ongoing Displacement of Low-Income Households,NY,135858,0,0.052,0,40.8701051,-73.8835491,0
307,"Census Tract 418, Bronx County, New York!!Estimate",347,638,43.6,"37,991","51,813","1,316",0,1.9,3.9,"430,200","2,451","1,411","1,351","4,302","2,055","1,781",(X),"4,302",75.80711075,33.8,"Census Tract 418, Bronx County, New York","Census Tract 418, Bronx County, New York!!Percent",15.60%,1.40%,4.60%,2.90%,0.00%,9.40%,4.80%,0.00%,6.90%,9.70%,46.90%,2.50%,6.20%,4.70%,16.10%,93.50%,47.00%,0.00%,0.00%,82.30%,3.20%,29.90%,42.50%,16.00%,1.90%,9.50%,6.00%,76.00%,8.00%,47.00%,50.00%,9.90%,13.30%,19.70%,5.60%,10.00%,12.60%,54.80%,0.00%,6.60%,37.10%,418,3787,14000US36005041800,36005041800,LI - Ongoing Gentrification,NY,268871,0,0.104,0,40.8971155,-73.8584637,1
308,"Census Tract 419, Bronx County, New York!!Estimate",804,"1,196",48.3,"37,355","54,319","2,599",0,2.2,3.3,"407,700","1,743","1,150","1,191","7,111","3,448","3,067",(X),"7,168",88.58195212,34,"Census Tract 419, Bronx County, New York","Census Tract 419, Bronx County, New York!!Percent",14.20%,0.00%,5.20%,4.00%,0.00%,16.30%,6.30%,2.70%,10.00%,11.00%,28.10%,9.70%,5.10%,1.80%,15.10%,86.50%,44.70%,0.00%,0.60%,95.10%,5.80%,32.00%,64.60%,3.60%,1.50%,7.90%,10.40%,57.30%,8.40%,47.30%,37.80%,16.90%,8.50%,24.50%,4.00%,12.50%,26.90%,17.60%,0.00%,13.90%,58.90%,419,3788,14000US36005041900,36005041900,LI - Ongoing Displacement of Low-Income Households,NY,325906,0,0.126,0,40.8768559,-73.8816837,0
309,"Census Tract 420, Bronx County, New York!!Estimate",312,507,49.8,"38,375","43,668","1,482",0,3.4,3.4,"362,700","2,479",864,"1,134","3,489","1,779","1,464",(X),"3,639",103.0691964,34.6,"Census Tract 420, Bronx County, New York","Census Tract 420, Bronx County, New York!!Percent",14.70%,0.00%,2.50%,1.50%,0.00%,10.90%,7.10%,3.50%,4.50%,12.40%,35.50%,8.40%,9.50%,4.20%,16.40%,85.80%,54.20%,0.00%,1.10%,85.70%,2.30%,39.60%,68.20%,3.50%,1.50%,4.00%,4.10%,73.30%,13.30%,53.00%,46.00%,15.10%,9.20%,15.30%,3.60%,16.90%,10.00%,57.50%,3.20%,3.00%,35.10%,420,3789,14000US36005042000,36005042000,LI - Not Losing Low-Income Households,NY,150497,0,0.058,0,40.8930261,-73.8598556,0
310,"Census Tract 421, Bronx County, New York!!Estimate",507,959,39.2,"31,265","42,356","2,351",0,3.3,3.3,-,-,-,"1,090","5,509","3,495","2,692",(X),"5,576",104.7741462,31.3,"Census Tract 421, Bronx County, New York","Census Tract 421, Bronx County, New York!!Percent",15.10%,0.00%,0.00%,4.10%,3.00%,13.80%,3.20%,0.00%,4.50%,5.80%,40.80%,22.30%,2.50%,0.00%,18.60%,83.10%,42.80%,0.00%,0.00%,98.50%,5.70%,38.20%,65.10%,5.10%,0.00%,15.70%,5.70%,100.00%,9.60%,61.20%,37.50%,22.70%,20.50%,24.90%,2.90%,12.50%,27.20%,16.60%,0.00%,11.10%,67.50%,421,3790,14000US36005042100,36005042100,LI - At Risk of Gentrification,NY,245661,0,0.095,0,40.8814558,-73.8827265,1
311,"Census Tract 422, Bronx County, New York!!Estimate",188,613,46.1,"50,302","60,052","1,172",0,12.4,4.3,"370,500","2,309",932,"1,198","3,387","1,507","1,300",(X),"3,387",72.27873856,42,"Census Tract 422, Bronx County, New York","Census Tract 422, Bronx County, New York!!Percent",12.50%,0.00%,3.70%,1.30%,2.70%,10.80%,7.80%,1.70%,4.80%,8.70%,39.20%,4.80%,5.10%,9.40%,10.20%,89.50%,51.60%,0.00%,4.60%,48.00%,1.00%,29.70%,48.70%,10.00%,4.80%,6.60%,6.60%,60.80%,17.30%,44.60%,35.50%,5.90%,11.10%,19.60%,5.10%,21.60%,7.80%,85.30%,0.30%,0.00%,15.60%,422,3791,14000US36005042200,36005042200,LI - Ongoing Displacement of Low-Income Households,NY,174693,0,0.067,0,40.8910971,-73.8552753,0
312,"Census Tract 423, Bronx County, New York!!Estimate",529,738,44.3,"33,194","51,003","1,494",0,4,3.3,"420,000","2,133",-,"1,177","4,372","2,050","1,718",(X),"4,384",79.52497952,30.7,"Census Tract 423, Bronx County, New York","Census Tract 423, Bronx County, New York!!Percent",14.90%,0.00%,2.80%,3.20%,0.40%,9.20%,8.30%,0.90%,9.40%,5.00%,34.30%,13.60%,9.30%,3.70%,16.70%,84.70%,40.70%,0.00%,2.10%,96.50%,5.00%,44.10%,64.70%,4.60%,3.60%,12.30%,16.70%,100.00%,9.40%,43.70%,45.70%,13.80%,11.10%,21.80%,3.50%,10.90%,24.80%,17.50%,0.40%,11.80%,61.90%,423,3792,14000US36005042300,36005042300,LI - Not Losing Low-Income Households,NY,180376,0,0.07,0,40.8770682,-73.877321,0
313,"Census Tract 424, Bronx County, New York!!Estimate",169,358,53.5,"62,667","71,497",863,2.8,5.7,5.1,"371,300","2,599",760,"1,275","2,440","1,178","1,080",(X),"2,680",99.85085757,41.2,"Census Tract 424, Bronx County, New York","Census Tract 424, Bronx County, New York!!Percent",9.90%,0.00%,3.80%,3.00%,0.00%,12.40%,12.30%,2.00%,5.60%,9.20%,28.10%,2.20%,12.00%,9.50%,8.90%,82.10%,50.30%,0.00%,1.20%,45.00%,0.00%,29.70%,32.70%,23.90%,1.90%,5.70%,3.00%,75.20%,20.30%,44.20%,40.20%,7.90%,15.20%,23.40%,6.10%,24.00%,11.50%,80.40%,0.00%,1.30%,14.10%,424,3793,14000US36005042400,36005042400,MHI - Stable Exclusion,NY,175087,0,0.068,0,40.8892825,-73.8495388,0
314,"Census Tract 425, Bronx County, New York!!Estimate",924,992,45.3,"29,368","45,942","2,251",0,1.3,3.9,"573,800","3,689","1,472","1,247","6,484","3,027","2,778",(X),"6,494",110.638988,26.9,"Census Tract 425, Bronx County, New York","Census Tract 425, Bronx County, New York!!Percent",15.20%,0.00%,9.80%,7.70%,0.80%,13.20%,4.20%,3.60%,8.40%,8.50%,17.60%,18.70%,6.40%,1.20%,10.50%,88.90%,44.40%,0.00%,0.00%,94.60%,1.70%,39.30%,55.70%,9.80%,0.00%,8.80%,6.60%,64.40%,4.00%,53.00%,51.50%,11.00%,14.10%,16.60%,0.60%,5.80%,18.90%,9.20%,2.20%,8.90%,70.70%,425,3794,14000US36005042500,36005042500,LI - Not Losing Low-Income Households,NY,293818,0,0.113,0,40.8710473,-73.8790905,0
315,"Census Tract 426, Bronx County, New York!!Estimate",301,924,42.7,"57,153","80,148","2,128",4.3,8.2,5.6,"431,600","2,645",882,"1,479","6,882","3,425","3,370",(X),"6,893",74.06565657,40.8,"Census Tract 426, Bronx County, New York","Census Tract 426, Bronx County, New York!!Percent",11.70%,0.00%,3.10%,2.90%,0.00%,8.30%,5.30%,2.90%,8.10%,7.50%,48.40%,4.40%,5.40%,3.80%,8.40%,91.60%,66.40%,0.00%,0.00%,34.50%,2.10%,12.90%,21.60%,27.50%,5.50%,3.40%,2.40%,79.50%,15.10%,40.80%,49.10%,9.50%,7.60%,28.40%,1.20%,17.50%,5.10%,82.80%,0.00%,7.20%,7.40%,426,3795,14000US36005042600,36005042600,MHI - Stable Exclusion,NY,507577,0,0.196,0,40.8908411,-73.8419292,0
316,"Census Tract 428, Bronx County, New York!!Estimate",73,245,41.3,"66,196","77,322",730,2.1,5.4,5,"377,500","2,612",804,"1,336","1,996","1,031",939,(X),"1,996",72.21742882,44.9,"Census Tract 428, Bronx County, New York","Census Tract 428, Bronx County, New York!!Percent",8.70%,0.00%,3.10%,2.20%,0.60%,7.30%,8.70%,0.80%,5.70%,12.60%,48.60%,5.80%,2.90%,1.80%,6.00%,88.20%,59.60%,0.00%,0.00%,33.70%,0.00%,23.80%,27.90%,27.60%,4.40%,0.90%,2.80%,74.90%,16.20%,43.50%,41.10%,6.10%,10.30%,28.90%,5.80%,22.70%,8.60%,83.40%,0.00%,1.30%,13.80%,428,3796,14000US36005042800,36005042800,MHI - Stable Exclusion,NY,169199,0,0.065,0,40.8945094,-73.845703,0
317,"Census Tract 429.01, Bronx County, New York!!Estimate",427,647,42.9,"41,394","45,715","1,275",0,0,3.6,"470,000","3,307",-,"1,222","4,154","2,220","1,803",(X),"4,154",95.66650966,33,"Census Tract 429.01, Bronx County, New York","Census Tract 429.01, Bronx County, New York!!Percent",8.80%,0.00%,4.40%,2.90%,1.50%,27.30%,4.70%,1.90%,8.40%,15.90%,17.50%,9.10%,5.60%,0.80%,17.20%,87.60%,43.90%,0.00%,0.00%,92.70%,5.50%,40.00%,74.30%,2.00%,0.00%,11.00%,7.10%,81.50%,8.90%,35.70%,36.30%,18.40%,9.80%,20.50%,3.60%,11.90%,28.20%,16.80%,0.00%,18.10%,55.70%,429.01,3797,14000US36005042901,36005042901,LI - Ongoing Displacement of Low-Income Households,NY,102256,0,0.039,0,40.8749499,-73.8742925,0
318,"Census Tract 429.02, Bronx County, New York!!Estimate",737,496,49.6,"27,159","41,631","1,640",0,0.9,3.5,-,-,-,"1,233","4,425","1,784","1,608",(X),"4,544",89.41225511,32.2,"Census Tract 429.02, Bronx County, New York","Census Tract 429.02, Bronx County, New York!!Percent",22.30%,0.00%,14.30%,1.90%,0.00%,10.60%,10.80%,3.80%,2.50%,10.40%,26.10%,10.20%,5.80%,3.60%,16.00%,87.60%,38.60%,2.00%,9.50%,92.80%,8.00%,44.30%,68.20%,7.10%,0.00%,7.20%,4.90%,30.80%,7.50%,45.50%,43.50%,10.30%,20.30%,23.00%,4.80%,9.00%,17.60%,28.10%,1.40%,3.10%,69.50%,429.02,3798,14000US36005042902,36005042902,LI - At Risk of Gentrification,NY,94576,0,0.037,0,40.8771176,-73.873909,1
319,"Census Tract 430, Bronx County, New York!!Estimate",230,574,37.9,"69,643","82,117","1,076",4,0,5.2,"408,900","2,604",781,"1,016","3,804","1,875","1,599",(X),"3,804",79.85815603,36.3,"Census Tract 430, Bronx County, New York","Census Tract 430, Bronx County, New York!!Percent",8.30%,0.00%,4.70%,3.80%,0.00%,15.30%,7.20%,3.30%,3.90%,9.70%,30.90%,13.10%,5.40%,2.80%,3.60%,84.20%,59.00%,0.00%,0.00%,41.00%,6.00%,16.30%,24.80%,22.40%,6.00%,2.40%,3.80%,84.00%,11.90%,50.10%,45.30%,8.90%,9.40%,28.10%,3.30%,15.00%,8.30%,77.40%,0.30%,1.60%,12.40%,430,3799,14000US36005043000,36005043000,MHI - Ongoing Exclusion,NY,206163,0,0.08,0,40.8934599,-73.8506574,0
320,"Census Tract 431, Bronx County, New York!!Estimate",938,"1,395",43.3,"28,646","39,853","3,648",0,2.7,3.4,-,-,925,"1,181","9,885","5,903","5,003",(X),"10,346",85.74506284,35.4,"Census Tract 431, Bronx County, New York","Census Tract 431, Bronx County, New York!!Percent",12.70%,0.00%,11.50%,3.00%,0.00%,9.60%,3.50%,2.50%,4.50%,6.50%,32.80%,14.10%,11.40%,0.50%,19.10%,87.10%,36.00%,0.00%,0.00%,96.60%,2.30%,25.50%,70.10%,4.00%,1.50%,13.10%,10.00%,25.00%,13.80%,53.30%,44.90%,18.50%,16.30%,16.30%,3.90%,17.60%,16.80%,22.90%,0.20%,11.80%,58.80%,431,3800,14000US36005043100,36005043100,LI - At Risk of Gentrification,NY,214577,0,0.083,0,40.8795983,-73.871616,1
321,"Census Tract 434, Bronx County, New York!!Estimate",315,757,45.4,"41,850","51,566","1,324",5.4,3.7,4,"460,900","2,973",869,"1,211","3,932","1,826","1,628",(X),"3,937",90.93113482,33.6,"Census Tract 434, Bronx County, New York","Census Tract 434, Bronx County, New York!!Percent",8.50%,0.00%,2.90%,7.00%,0.00%,16.10%,5.80%,3.20%,4.80%,7.50%,37.90%,8.50%,4.50%,1.70%,12.80%,93.00%,55.70%,0.00%,0.00%,72.30%,1.80%,30.70%,52.70%,15.50%,1.40%,8.40%,0.70%,79.90%,9.80%,41.90%,41.10%,7.20%,18.60%,16.50%,4.60%,10.80%,14.80%,58.80%,0.30%,6.70%,27.70%,434,3801,14000US36005043400,36005043400,LI - Not Losing Low-Income Households,NY,350972,0,0.136,0,40.8982106,-73.8523391,0
322,"Census Tract 435, Bronx County, New York!!Estimate",0,4,N,-,"32,904",28,-,0,3.7,-,-,-,800,62,24,4,(X),62,37.77777778,23.8,"Census Tract 435, Bronx County, New York","Census Tract 435, Bronx County, New York!!Percent",0.00%,0.00%,0.00%,0.00%,0.00%,56.80%,0.00%,0.00%,0.00%,0.00%,27.00%,16.20%,0.00%,0.00%,33.30%,91.90%,53.20%,14.30%,42.90%,100.00%,16.70%,66.70%,66.70%,0.00%,0.00%,16.70%,0.00%,-,19.40%,52.90%,70.00%,13.30%,20.00%,0.00%,6.50%,19.40%,0.00%,87.10%,0.00%,0.00%,12.90%,435,3802,14000US36005043500,36005043500,Missing Data,NY,6714543,32176,2.592,0.012,40.8952301,-73.8812755,0
323,"Census Tract 436, Bronx County, New York!!Estimate",69,367,50.3,"59,648","82,073",731,0,0,4.9,"355,300","2,477","1,108","1,329","2,177",982,884,(X),"2,179",120.3235592,40.5,"Census Tract 436, Bronx County, New York","Census Tract 436, Bronx County, New York!!Percent",11.10%,0.00%,1.50%,7.40%,2.20%,5.90%,2.60%,1.40%,10.50%,8.20%,43.50%,7.10%,7.60%,2.10%,10.50%,85.90%,68.10%,2.60%,0.00%,41.00%,3.60%,19.60%,34.90%,24.30%,10.80%,4.50%,0.00%,82.70%,11.90%,38.70%,35.10%,6.80%,10.70%,30.00%,6.10%,16.40%,4.80%,69.50%,0.00%,9.40%,16.40%,436,3803,14000US36005043600,36005043600,MHI - Stable Exclusion,NY,154651,0,0.06,0,40.8972795,-73.849759,0
324,"Census Tract 442, Bronx County, New York!!Estimate",363,397,52.3,"38,333","51,170","1,295",0,6.5,4,"426,000","3,088",777,"1,198","3,514","1,464","1,272",(X),"3,533",85.94736842,33.9,"Census Tract 442, Bronx County, New York","Census Tract 442, Bronx County, New York!!Percent",8.40%,3.80%,5.80%,0.00%,6.40%,8.70%,3.50%,1.40%,5.60%,11.80%,36.20%,9.10%,7.30%,0.60%,17.70%,91.40%,47.40%,0.00%,0.00%,65.10%,12.40%,32.20%,39.30%,19.30%,1.90%,12.30%,2.00%,59.50%,14.30%,52.30%,49.70%,12.00%,14.20%,18.60%,7.90%,16.60%,18.90%,74.60%,0.00%,0.00%,22.70%,442,3804,14000US36005044200,36005044200,LI - Not Losing Low-Income Households,NY,238927,0,0.092,0,40.9038676,-73.8462553,0
325,"Census Tract 444, Bronx County, New York!!Estimate",180,556,51.6,"60,571","64,263","1,382",0,5,5.1,"379,500","2,624",926,"1,428","3,686","1,777","1,638",(X),"3,728",94.67362924,40.5,"Census Tract 444, Bronx County, New York","Census Tract 444, Bronx County, New York!!Percent",12.00%,0.00%,7.60%,2.40%,0.00%,9.40%,6.60%,3.90%,4.20%,8.40%,37.20%,9.40%,7.30%,3.80%,7.70%,85.50%,50.90%,0.00%,0.00%,41.70%,1.90%,24.20%,29.70%,14.60%,4.70%,4.00%,4.00%,73.60%,17.50%,59.70%,42.00%,8.40%,5.60%,24.70%,8.30%,22.70%,5.90%,79.20%,0.00%,2.10%,11.30%,444,3805,14000US36005044400,36005044400,MHI - Stable Exclusion,NY,365065,0,0.141,0,40.8995005,-73.8437344,0
326,"Census Tract 448, Bronx County, New York!!Estimate",92,228,47.5,"82,321","87,942",704,0,0,5.2,"399,300","2,497",902,"1,598","2,054","1,015",976,(X),"2,054",93.59095193,42.1,"Census Tract 448, Bronx County, New York","Census Tract 448, Bronx County, New York!!Percent",9.30%,0.00%,1.20%,2.30%,0.80%,3.40%,14.70%,0.50%,7.30%,5.70%,44.00%,5.60%,4.10%,10.50%,0.90%,89.00%,74.70%,0.00%,0.00%,27.40%,0.00%,21.40%,20.70%,25.70%,10.10%,1.10%,1.80%,80.40%,13.00%,53.50%,41.40%,5.10%,5.10%,30.50%,10.30%,22.20%,4.30%,85.00%,0.00%,3.00%,9.50%,448,3806,14000US36005044800,36005044800,MHI - Ongoing Exclusion,NY,168089,0,0.065,0,40.8954712,-73.8413102,0
327,"Census Tract 449.01, Bronx County, New York!!Estimate",54,188,46.8,"69,231","87,918",766,0,3.9,4.1,"292,400","2,109",735,"1,249","1,450",369,326,(X),"1,450",95.15477793,40.1,"Census Tract 449.01, Bronx County, New York","Census Tract 449.01, Bronx County, New York!!Percent",10.50%,0.00%,6.40%,2.50%,0.00%,5.30%,2.60%,1.30%,17.80%,17.90%,26.40%,8.50%,5.50%,5.80%,5.90%,92.30%,76.60%,0.00%,0.00%,58.50%,2.60%,23.30%,32.80%,16.30%,0.00%,0.00%,2.50%,61.30%,23.40%,46.80%,38.10%,7.40%,2.90%,34.60%,12.90%,25.90%,86.40%,5.30%,0.00%,1.00%,13.10%,449.01,3807,14000US36005044901,36005044901,MHI - Stable Exclusion,NY,158135,0,0.061,0,40.8974999,-73.8733943,0
328,"Census Tract 449.02, Bronx County, New York!!Estimate",258,197,45.5,"66,125","73,692",890,0,3.8,4.3,"430,300","2,545",695,"1,283","1,967",633,616,(X),"1,994",92.10019268,37.4,"Census Tract 449.02, Bronx County, New York","Census Tract 449.02, Bronx County, New York!!Percent",9.40%,0.00%,14.10%,0.70%,0.30%,4.70%,1.50%,1.20%,7.10%,15.50%,25.00%,13.00%,9.00%,7.80%,5.50%,86.20%,67.20%,0.00%,0.00%,63.90%,5.10%,30.80%,34.80%,17.40%,2.20%,2.50%,0.00%,66.00%,12.30%,44.00%,37.30%,7.20%,2.90%,40.20%,5.60%,14.80%,80.10%,4.70%,0.00%,2.30%,16.90%,449.02,3808,14000US36005044902,36005044902,MHI - Stable Exclusion,NY,156698,0,0.061,0,40.8988257,-73.8689887,0
329,"Census Tract 451.01, Bronx County, New York!!Estimate",132,81,38,"65,781","79,028",816,0,9.5,3.9,"395,000",-,632,"1,419","1,548",341,330,(X),"1,548",106.1251664,36.9,"Census Tract 451.01, Bronx County, New York","Census Tract 451.01, Bronx County, New York!!Percent",2.70%,0.00%,10.20%,1.30%,0.00%,2.80%,7.30%,1.40%,3.70%,12.50%,41.10%,15.10%,2.60%,2.00%,3.60%,94.10%,83.20%,0.00%,0.00%,67.10%,3.20%,35.20%,28.30%,16.80%,0.00%,3.90%,1.30%,36.50%,20.30%,48.10%,33.70%,3.20%,3.10%,40.80%,7.20%,23.10%,86.80%,1.10%,0.00%,7.30%,9.90%,451.01,3809,14000US36005045101,36005045101,MHI - Stable Exclusion,NY,176003,0,0.068,0,40.8974545,-73.8643137,0
330,"Census Tract 451.02, Bronx County, New York!!Estimate",96,158,35.1,"84,018","81,302",908,0,0,4.3,"348,400","2,213",613,"1,399","1,861",612,601,(X),"1,870",90.62181448,40.7,"Census Tract 451.02, Bronx County, New York","Census Tract 451.02, Bronx County, New York!!Percent",3.30%,0.00%,21.70%,5.40%,0.00%,8.00%,1.80%,4.70%,4.10%,5.90%,34.80%,3.80%,4.60%,5.20%,2.10%,92.80%,82.70%,0.00%,0.00%,57.60%,6.80%,26.20%,23.60%,30.90%,0.00%,1.70%,0.70%,48.40%,17.40%,32.80%,31.20%,6.70%,8.10%,37.40%,10.10%,21.40%,84.80%,4.80%,0.00%,0.20%,14.80%,451.02,3810,14000US36005045102,36005045102,MHI - Ongoing Exclusion,NY,205999,0,0.08,0,40.9003682,-73.8641477,0
331,"Census Tract 456, Bronx County, New York!!Estimate",108,335,42.3,"74,761","89,178","1,136",10.7,11.9,6,"527,900","2,825",906,"1,398","2,983","1,249","1,050",(X),"2,988",82.30628432,44.1,"Census Tract 456, Bronx County, New York","Census Tract 456, Bronx County, New York!!Percent",4.00%,0.00%,12.60%,1.90%,2.50%,8.80%,4.90%,3.20%,6.40%,3.70%,43.30%,2.50%,6.70%,3.30%,3.70%,97.60%,74.10%,0.00%,0.00%,29.30%,0.70%,15.50%,13.30%,15.50%,19.20%,1.60%,2.70%,60.10%,19.40%,48.10%,30.80%,5.90%,7.50%,25.50%,3.90%,21.70%,36.50%,48.00%,1.20%,2.40%,26.60%,456,3811,14000US36005045600,36005045600,MHI - Ongoing Exclusion,NY,826371,16840,0.319,0.007,40.8875466,-73.8207511,0
332,"Census Tract 458, Bronx County, New York!!Estimate",470,"1,043",58.2,"19,768","25,234","2,080",-,1.2,4.1,-,-,-,480,"5,211","1,612","1,067",(X),"5,211",58.58186245,27,"Census Tract 458, Bronx County, New York","Census Tract 458, Bronx County, New York!!Percent",6.20%,1.30%,1.80%,9.20%,0.00%,6.30%,7.00%,0.00%,6.40%,7.90%,44.80%,9.40%,0.90%,5.10%,29.30%,93.80%,37.00%,0.00%,0.00%,100.00%,2.00%,21.20%,82.30%,8.40%,0.00%,5.10%,2.00%,-,9.90%,59.10%,60.80%,16.20%,21.20%,16.40%,6.70%,12.40%,13.30%,45.00%,0.00%,1.10%,60.50%,458,3812,14000US36005045800,36005045800,LI - Ongoing Displacement of Low-Income Households,NY,239682,0,0.093,0,40.8858611,-73.8452028,0
